sAMAccountName,password,ou,department,groups,userPrincipalName,givenName,initials,sn,displayname,description,physicalDeliveryOfficeName,telephoneNumber,mail,wwwHomepage,StreetAddress,postOfficeBox,l,st,postalCode,c,profilePath,scriptPath,homeDrive,homeDirectory,homePhone,mobile,ipPhone,title,company,employeeid,employeenumber,manager,proxyAddresses
Cory.Wilson,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Cory.Wilson@activedirectorypro.com,Cory,J,Wilson,Cory Wilson,Marketing User,Marketing Office,###-###-####,Cory.Wilson@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Baton Rouge,LA,70814,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1020,21,robert.allen,SMTP:Cory.Wilson@activedirectorypro.com
Clarence.Olson,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Clarence.Olson@activedirectorypro.com,Clarence,J,Olson,Clarence Olson,Marketing User,Marketing Office,###-###-####,Clarence.Olson@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Lexington,KY,40507,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1021,22,robert.allen,SMTP:Clarence.Olson@activedirectorypro.com
Jill.Glass,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Jill.Glass@activedirectorypro.com,Jill,C,Glass,Jill Glass,Marketing User,Marketing Office,###-###-####,Jill.Glass@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Birmingham,AL,35222,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1022,23,robert.allen,SMTP:Jill.Glass@activedirectorypro.com
Jason.Muir,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Jason.Muir@activedirectorypro.com,Jason,S,Muir,Jason Muir,Marketing User,Marketing Office,###-###-####,Jason.Muir@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Philadelphia,PA,19146,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1023,24,robert.allen,SMTP:Jason.Muir@activedirectorypro.com
Christopher.Sisco,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Christopher.Sisco@activedirectorypro.com,Christopher,D,Sisco,Christopher Sisco,Marketing User,Marketing Office,###-###-####,Christopher.Sisco@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Plymouth,IN,46563,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1024,25,robert.allen,SMTP:Christopher.Sisco@activedirectorypro.com
Samuel.Thomas,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Samuel.Thomas@activedirectorypro.com,Samuel,M,Thomas,Samuel Thomas,Marketing User,Marketing Office,###-###-####,Samuel.Thomas@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Marietta,GA,30062,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1025,26,robert.allen,SMTP:Samuel.Thomas@activedirectorypro.com
Nigel.Caldwell,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Nigel.Caldwell@activedirectorypro.com,Nigel,E,Caldwell,Nigel Caldwell,Marketing User,Marketing Office,###-###-####,Nigel.Caldwell@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Secaucus,NJ,7094,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1026,27,robert.allen,SMTP:Nigel.Caldwell@activedirectorypro.com
Donna.Holleran,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Donna.Holleran@activedirectorypro.com,Donna,C,Holleran,Donna Holleran,Marketing User,Marketing Office,###-###-####,Donna.Holleran@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Beaverdale,PA,15952,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1027,28,robert.allen,SMTP:Donna.Holleran@activedirectorypro.com
William.Magill,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",William.Magill@activedirectorypro.com,William,D,Magill,William Magill,Marketing User,Marketing Office,###-###-####,William.Magill@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Marshfield,MO,65706,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1028,29,robert.allen,SMTP:William.Magill@activedirectorypro.com
Nicole.Benson,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Nicole.Benson@activedirectorypro.com,Nicole,C,Benson,Nicole Benson,Marketing User,Marketing Office,###-###-####,Nicole.Benson@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Knoxville,TN,37918,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1029,30,robert.allen,SMTP:Nicole.Benson@activedirectorypro.com
Louise.Quinn,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Louise.Quinn@activedirectorypro.com,Louise,J,Quinn,Louise Quinn,Marketing User,Marketing Office,###-###-####,Louise.Quinn@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Arlington,VA,22206,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1030,31,robert.allen,SMTP:Louise.Quinn@activedirectorypro.com
Elaine.Thompson,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Elaine.Thompson@activedirectorypro.com,Elaine,D,Thompson,Elaine Thompson,Marketing User,Marketing Office,###-###-####,Elaine.Thompson@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Hollywood,FL,33024,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1031,32,robert.allen,SMTP:Elaine.Thompson@activedirectorypro.com
Paul.Gonzalez,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Paul.Gonzalez@activedirectorypro.com,Paul,S,Gonzalez,Paul Gonzalez,Marketing User,Marketing Office,###-###-####,Paul.Gonzalez@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Radcliff,KY,40180,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1032,33,robert.allen,SMTP:Paul.Gonzalez@activedirectorypro.com
Jesus.Basile,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Jesus.Basile@activedirectorypro.com,Jesus,L,Basile,Jesus Basile,Marketing User,Marketing Office,###-###-####,Jesus.Basile@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Polk City,FL,33868,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1033,34,robert.allen,SMTP:Jesus.Basile@activedirectorypro.com
Stacy.Miller,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Stacy.Miller@activedirectorypro.com,Stacy,F,Miller,Stacy Miller,Marketing User,Marketing Office,###-###-####,Stacy.Miller@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Texas City,TX,77591,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1034,35,robert.allen,SMTP:Stacy.Miller@activedirectorypro.com
Charles.Robertson,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Charles.Robertson@activedirectorypro.com,Charles,C,Robertson,Charles Robertson,Marketing User,Marketing Office,###-###-####,Charles.Robertson@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Santa Rosa,CA,95401,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1035,36,robert.allen,SMTP:Charles.Robertson@activedirectorypro.com
George.Mosely,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",George.Mosely@activedirectorypro.com,George,L,Mosely,George Mosely,Marketing User,Marketing Office,###-###-####,George.Mosely@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Manassas,VA,22110,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1036,37,robert.allen,SMTP:George.Mosely@activedirectorypro.com
Virginia.Norris,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Virginia.Norris@activedirectorypro.com,Virginia,L,Norris,Virginia Norris,Marketing User,Marketing Office,###-###-####,Virginia.Norris@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Plymouth Meeting,PA,19462,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1037,38,robert.allen,SMTP:Virginia.Norris@activedirectorypro.com
Matthew.Gilligan,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Matthew.Gilligan@activedirectorypro.com,Matthew,D,Gilligan,Matthew Gilligan,Marketing User,Marketing Office,###-###-####,Matthew.Gilligan@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Brockton,MA,2402,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1038,39,robert.allen,SMTP:Matthew.Gilligan@activedirectorypro.com
Mary.Barnett,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Mary.Barnett@activedirectorypro.com,Mary,R,Barnett,Mary Barnett,Marketing User,Marketing Office,###-###-####,Mary.Barnett@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Honolulu,HI,96813,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1039,40,robert.allen,SMTP:Mary.Barnett@activedirectorypro.com
Alva.Wood,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Alva.Wood@activedirectorypro.com,Alva,E,Wood,Alva Wood,Marketing User,Marketing Office,###-###-####,Alva.Wood@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Aurora,CO,80014,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1040,41,robert.allen,SMTP:Alva.Wood@activedirectorypro.com
Eric.Seifert,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Eric.Seifert@activedirectorypro.com,Eric,E,Seifert,Eric Seifert,Marketing User,Marketing Office,###-###-####,Eric.Seifert@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Bethpage,NY,11714,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1041,42,robert.allen,SMTP:Eric.Seifert@activedirectorypro.com
Martha.Morales,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Martha.Morales@activedirectorypro.com,Martha,R,Morales,Martha Morales,Marketing User,Marketing Office,###-###-####,Martha.Morales@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Dowling Park,FL,32060,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1042,43,robert.allen,SMTP:Martha.Morales@activedirectorypro.com
Jackie.Harris,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Jackie.Harris@activedirectorypro.com,Jackie,D,Harris,Jackie Harris,Marketing User,Marketing Office,###-###-####,Jackie.Harris@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Philadelphia,PA,19108,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1043,44,robert.allen,SMTP:Jackie.Harris@activedirectorypro.com
Mary.Smart,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Mary.Smart@activedirectorypro.com,Mary,J,Smart,Mary Smart,Marketing User,Marketing Office,###-###-####,Mary.Smart@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Metairie,LA,70001,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1044,45,robert.allen,SMTP:Mary.Smart@activedirectorypro.com
Timmy.Snow,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Timmy.Snow@activedirectorypro.com,Timmy,T,Snow,Timmy Snow,Marketing User,Marketing Office,###-###-####,Timmy.Snow@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Asheboro,NC,27203,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1045,46,robert.allen,SMTP:Timmy.Snow@activedirectorypro.com
Jared.Dietz,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Jared.Dietz@activedirectorypro.com,Jared,C,Dietz,Jared Dietz,Marketing User,Marketing Office,###-###-####,Jared.Dietz@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Stuart,FL,34994,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1046,47,robert.allen,SMTP:Jared.Dietz@activedirectorypro.com
Shannon.Key,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Shannon.Key@activedirectorypro.com,Shannon,M,Key,Shannon Key,Marketing User,Marketing Office,###-###-####,Shannon.Key@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Summit,NJ,7901,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1047,48,robert.allen,SMTP:Shannon.Key@activedirectorypro.com
Leo.Puente,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Leo.Puente@activedirectorypro.com,Leo,E,Puente,Leo Puente,Marketing User,Marketing Office,###-###-####,Leo.Puente@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Chicago,IL,60631,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1048,49,robert.allen,SMTP:Leo.Puente@activedirectorypro.com
Minnie.James,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Minnie.James@activedirectorypro.com,Minnie,G,James,Minnie James,Marketing User,Marketing Office,###-###-####,Minnie.James@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Mililani,HI,96789,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1049,50,robert.allen,SMTP:Minnie.James@activedirectorypro.com
Irene.Terrell,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Irene.Terrell@activedirectorypro.com,Irene,J,Terrell,Irene Terrell,Marketing User,Marketing Office,###-###-####,Irene.Terrell@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Shreveport,LA,71101,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1050,51,robert.allen,SMTP:Irene.Terrell@activedirectorypro.com
Lionel.Garey,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Lionel.Garey@activedirectorypro.com,Lionel,T,Garey,Lionel Garey,Marketing User,Marketing Office,###-###-####,Lionel.Garey@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Baton Rouge,LA,70814,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1051,52,robert.allen,SMTP:Lionel.Garey@activedirectorypro.com
Renee.Stone,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Renee.Stone@activedirectorypro.com,Renee,J,Stone,Renee Stone,Marketing User,Marketing Office,###-###-####,Renee.Stone@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,High Point,NC,27260,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1052,53,robert.allen,SMTP:Renee.Stone@activedirectorypro.com
Jenna.Rushton,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Jenna.Rushton@activedirectorypro.com,Jenna,M,Rushton,Jenna Rushton,Marketing User,Marketing Office,###-###-####,Jenna.Rushton@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Atlanta,GA,30342,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1053,54,robert.allen,SMTP:Jenna.Rushton@activedirectorypro.com
Michelle.Tobin,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Michelle.Tobin@activedirectorypro.com,Michelle,W,Tobin,Michelle Tobin,Marketing User,Marketing Office,###-###-####,Michelle.Tobin@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Columbus,OH,43212,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1054,55,robert.allen,SMTP:Michelle.Tobin@activedirectorypro.com
